Distance(mi),Amenity,No_Exit,Station,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements
0.359,0,0,0,1,Winter,0,0,0,0
0.01,0,0,0,1,Winter,0,0,0,2
0.018,0,0,0,1,Fall,0,0,0,1
0.728,0,0,0,0,Winter,0,0,0,0
0.6200000047683716,0,0,0,0,Winter,0,0,0,1
0.066,0,0,0,0,Winter,0,0,0,0
0.016,0,0,0,0,Winter,0,0,0,1
1.384,0,0,0,1,Summer,0,0,0,0
1.281,0,0,0,1,Spring,1,0,1,1
0.383,0,0,0,0,Spring,0,0,0,0
0.105,0,0,0,1,Winter,0,0,0,0
1.06,0,0,0,1,Summer,0,1,0,0
0.623,0,0,0,0,Summer,0,0,0,0
1.69,0,0,0,1,Winter,0,0,0,0
0.119,0,0,0,0,Winter,0,0,1,1
0.487,0,0,0,0,Winter,0,1,0,0
0.231,0,0,0,1,Summer,0,0,0,1
0.0,0,0,0,1,Spring,0,0,1,0
0.0,0,0,0,1,Winter,0,1,0,0
1.222,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,0,Summer,0,0,0,0
0.251,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,1
1.195,0,0,0,1,Summer,0,1,0,0
0.074,0,0,0,1,Fall,0,0,0,2
0.467,0,0,0,1,Summer,0,0,0,0
0.1,0,0,0,1,Summer,0,0,0,1
0.0,0,0,0,1,Spring,0,1,0,1
0.599,0,0,0,0,Fall,0,0,0,0
0.336,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,0
0.8690000000000001,0,0,0,0,Winter,0,0,1,1
0.127,0,0,0,0,Winter,0,0,0,0
0.6779999999999999,0,0,0,1,Winter,0,0,0,0
1.259,0,0,0,1,Spring,0,1,0,0
1.696,0,0,0,1,Fall,0,0,0,0
0.4,0,0,0,1,Summer,0,0,0,0
0.317,0,0,0,0,Winter,0,1,0,0
2.654,0,0,0,1,Fall,0,0,0,0
5.419,0,0,0,1,Spring,0,0,0,0
0.046,0,0,0,1,Fall,0,0,0,1
